MatrixSize,NumEigs,NumProcs,Successes,Failures,ShurFallbacks,WallTime,TotalComputeTime,AverageWorkerComputeTime,ManagerInitTime,ManagerManagingTime,ManagerWaitingTime,ManagerWriteTime
500,2048,8,2048,0,0,   16.605324,  115.889203,   16.555600,    0.004580,    0.037130,   16.558707,    0.004777
500,2048,16,2048,0,0,   12.940189,  192.028443,   12.801896,    0.006101,    0.077377,   12.833937,    0.022254
500,2048,32,2048,0,0,   14.592223,  386.619114,   12.471584,    0.010680,    0.103950,   14.303074,    0.173047
500,2048,64,2048,0,0,   14.592910,  661.642371,   10.502260,    0.020033,    0.103657,   14.209316,    0.188420
500,2048,128,2048,0,0,   16.586500, 1264.047768,    9.953132,    0.038697,    0.193779,   15.620239,    0.449244
500,4096,2,4096,0,0,  204.784546,  204.685780,  204.685780,    0.004204,    0.062898,  204.708900,    0.008326
500,4096,4,4096,0,0,   69.683350,  208.860223,   69.620074,    0.004474,    0.061376,   69.610527,    0.006737
500,4096,8,4096,0,0,   33.182887,  231.716900,   33.102414,    0.004711,    0.075997,   33.092400,    0.009519
500,4096,16,4096,0,0,   26.765486,  399.668883,   26.644592,    0.006268,    0.157734,   26.556279,    0.044358
500,4096,32,4096,0,0,   27.229493,  705.963391,   22.773013,    0.012711,    0.192813,   26.713982,    0.276960
500,4096,64,4096,0,0,   28.339009, 1248.046843,   19.810267,    0.018402,    0.181991,   27.774059,    0.314703
500,4096,128,4096,0,0,   30.306277, 2012.097644,   15.843289,    0.042493,    0.154437,   29.554609,    0.073701
750,128,2,128,0,0,   16.716893,   16.700674,   16.700674,    0.004252,    0.002274,   16.709596,    0.000487
750,128,4,128,0,0,    6.287191,   18.360749,    6.120250,    0.032443,    0.002439,    6.251508,    0.000443
750,128,8,128,0,0,    3.248698,   22.093794,    3.156256,    0.004693,    0.004158,    3.238912,    0.000710
750,128,16,128,0,0,    5.518943,   75.918982,    5.061265,    0.009775,    0.012712,    5.488358,    0.007712
750,128,32,128,0,0,    7.289634,  207.974004,    6.708839,    0.009953,    0.023219,    7.158889,    0.094595
750,128,64,128,0,0,   10.570951,  495.409680,    7.863646,    0.018935,    0.026532,   10.334868,    0.188971
750,128,128,128,0,0,   13.824193, 1110.824522,    8.746650,    0.045922,    0.131896,   13.559869,    0.080227
750,256,2,256,0,0,   36.134477,   36.103141,   36.103141,    0.019781,    0.004282,   36.109231,    0.000838
750,256,4,256,0,0,   12.139779,   36.168985,   12.056328,    0.004419,    0.004561,   12.129580,    0.000823
750,256,8,256,0,0,    6.061381,   41.736311,    5.962330,    0.004608,    0.009056,    6.045498,    0.001650
750,256,16,256,0,0,   10.511597,  149.254354,    9.950290,    0.005922,    0.019281,   10.474436,    0.011449
750,256,32,256,0,0,   13.367437,  384.330857,   12.397770,    0.010085,    0.051881,   13.159518,    0.144007
750,256,64,256,0,0,   18.041699,  966.437649,   15.340280,    0.052045,    0.044938,   17.901231,    0.041177
750,256,128,256,0,0,   22.337049, 2299.570301,   18.106853,    0.038584,    0.044564,   22.180096,    0.061908
750,512,2,512,0,0,   68.529564,   68.506811,   68.506811,    0.004139,    0.008303,   68.515307,    0.001492
750,512,4,512,0,0,   23.418210,   69.865627,   23.288542,    0.004315,    0.009747,   23.401673,    0.002074
750,512,8,512,0,0,   12.457202,   86.583909,   12.369130,    0.005673,    0.016862,   12.431215,    0.003128
750,512,16,512,0,0,   18.801801,  278.693055,   18.579537,    0.005968,    0.037815,   18.733447,    0.023824
750,512,32,512,0,0,   26.980887,  792.209433,   25.555143,    0.007954,    0.106721,   26.656441,    0.141323
750,512,64,512,0,0,   27.589446, 1530.657943,   24.296158,    0.017062,    0.088206,   27.225620,    0.148318
750,512,128,512,0,0,   38.883541, 4180.067656,   32.913919,    0.033371,    0.066507,   38.705540,    0.062071
750,1024,2,1024,0,0,  133.941817,  133.906841,  133.906841,    0.004106,    0.016594,  133.917887,    0.002835
750,1024,4,1024,0,0,   48.435140,  144.993898,   48.331299,    0.004297,    0.019951,   48.407309,    0.003204
750,1024,8,1024,0,0,   25.223784,  175.878976,   25.125568,    0.004611,    0.028313,   25.185282,    0.005304
750,1024,16,1024,0,0,   36.468042,  540.061006,   36.004067,    0.005926,    0.110452,   36.261622,    0.088559
750,1024,32,1024,0,0,   52.645259, 1572.201588,   50.716180,    0.010997,    0.192884,   52.164191,    0.274648
750,1024,64,1024,0,0,   56.220360, 3245.070712,   51.509059,    0.017588,    0.160561,   55.742768,    0.210207
750,1024,128,1024,0,0,   62.978787, 6434.621553,   50.666311,    0.036236,    0.097922,   62.718286,    0.102754
750,2048,2,2048,0,0,  283.568911,  283.510014,  283.510014,    0.004349,    0.032032,  283.526549,    0.005531
750,2048,4,2048,0,0,   94.658873,  283.357866,   94.452622,    0.048906,    0.037119,   94.566319,    0.006087
750,2048,8,2048,0,0,   51.110139,  356.795271,   50.970753,    0.004727,    0.059666,   51.033720,    0.011569
750,2048,16,2048,0,0,   70.975665, 1059.788217,   70.652548,    0.005916,    0.236539,   70.589859,    0.140908
750,2048,32,2048,0,0,  102.477838, 3044.350797,   98.204864,    0.010283,    0.354282,  101.355328,    0.702979
750,2048,64,2048,0,0,  102.990827, 5855.024704,   92.936900,    0.017824,    0.475834,  101.769215,    0.703168
750,2048,128,2048,0,0,  105.297991,10488.111143,   82.583552,    0.036558,    0.144753,  104.727922,    0.108139
750,4096,2,4096,0,0,  555.453277,  555.292357,  555.292357,    0.007329,    0.067297,  555.367209,    0.010900
750,4096,4,4096,0,0,  189.587697,  568.405594,  189.468531,    0.004528,    0.072257,  189.498632,    0.011702
750,4096,8,4096,0,0,  102.146327,  714.314874,  102.044982,    0.007327,    0.114367,  102.002253,    0.021825
750,4096,16,4096,0,0,  144.102350, 2151.551728,  143.436782,    0.006462,    0.409958,  143.437303,    0.244653
750,4096,32,4096,0,0,  194.419940, 5758.665055,  185.763389,    0.010268,    0.766948,  192.044107,    1.375364
750,4096,64,4096,0,0,  200.030771,11258.443192,  178.705447,    0.018264,    0.474915,  198.359453,    0.761321
750,4096,128,4096,0,0,  204.313462,20749.655014,  163.383110,    0.035012,    0.295151,  203.651990,    0.275887
1000,128,2,128,0,0,   29.770592,   29.757337,   29.757337,    0.004464,    0.002278,   29.762863,    0.000524
1000,128,4,128,0,0,   11.678153,   34.113526,   11.371175,    0.057331,    0.002693,   11.616738,    0.000817
1000,128,8,128,0,0,   13.803799,   94.452541,   13.493220,    0.004694,    0.007421,   13.788436,    0.002709
1000,128,16,128,0,0,   23.930091,  338.695120,   22.579675,    0.005851,    0.022464,   23.885343,    0.015561
1000,128,32,128,0,0,   33.130300,  968.498724,   31.241894,    0.010093,    0.044087,   33.029186,    0.045804
1000,128,64,128,0,0,   39.173076, 2235.012034,   35.476381,    0.017727,    0.054286,   38.672434,    0.424554
1000,128,128,128,0,0,   36.853115, 2918.462312,   22.980018,    0.014013,    0.104637,   36.652338,    0.072486
1000,256,2,256,0,0,   53.229552,   53.212290,   53.212290,    0.004096,    0.004492,   53.219339,    0.001010
1000,256,4,256,0,0,   23.627315,   70.516576,   23.505525,    0.004352,    0.005709,   23.615343,    0.001301
1000,256,8,256,0,0,   27.889357,  193.588364,   27.655481,    0.004543,    0.015044,   27.864525,    0.004765
1000,256,16,256,0,0,   48.933727,  712.039839,   47.469323,    0.010978,    0.043536,   48.848019,    0.030139
1000,256,32,256,0,0,   58.455169, 1754.779106,   56.605778,    0.013841,    0.077393,   58.201404,    0.116174
1000,256,64,256,0,0,   69.335958, 4071.373781,   64.624981,    0.020351,    0.064504,   69.166389,    0.077073
1000,256,128,256,0,0,   73.437282, 8201.311934,   64.577259,    0.036781,    0.101338,   73.231184,    0.065738
1000,512,2,512,0,0,  123.429896,  123.399622,  123.399622,    0.004146,    0.009529,  123.413614,    0.002157
1000,512,4,512,0,0,   43.218841,  129.234505,   43.078168,    0.051984,    0.010382,   43.153467,    0.002410
1000,512,8,512,0,0,   55.192030,  383.975855,   54.853694,    0.004620,    0.029685,   55.147670,    0.009506
1000,512,16,512,0,0,   92.930752, 1379.969207,   91.997947,    0.014428,    0.086800,   92.768318,    0.059613
1000,512,32,512,0,0,  126.463876, 3828.427379,  123.497657,    0.010952,    0.360557,  125.887106,    0.202839
1000,512,64,512,0,0,  119.728931, 7097.961818,  112.666061,    0.019891,    0.106005,  119.362625,    0.145648
1000,512,128,512,0,0,  125.773081,14278.942391,  112.432617,    0.044321,    0.589570,  124.843329,    0.218308
1000,1024,2,1024,0,0,  242.638137,  242.599617,  242.599617,    0.004350,    0.017312,  242.612246,    0.003694
1000,1024,4,1024,0,0,   85.999720,  257.745415,   85.915138,    0.004228,    0.022347,   85.967955,    0.004594
1000,1024,8,1024,0,0,  104.276896,  727.714805,  103.959258,    0.004533,    0.058361,  104.194498,    0.018775
1000,1024,16,1024,0,0,  179.397725, 2674.260176,  178.284012,    0.005751,    0.180868,  179.088346,    0.119980
1000,1024,32,1024,0,0,  234.717781, 7153.117612,  230.745729,    0.013912,    0.281694,  233.754209,    0.613524
1000,1024,64,1024,0,0,  243.122963,14683.788763,  233.076012,    0.018540,    0.238411,  241.756822,    1.058826
1000,1024,128,1024,0,0,  224.869322,24497.322527,  192.892303,    0.036293,    0.383182,  224.149249,    0.117720
1000,2048,2,2048,0,0,  470.366727,  470.300350,  470.300350,    0.004261,    0.033703,  470.321284,    0.006922
1000,2048,4,2048,0,0,  175.253131,  525.141805,  175.047268,    0.004376,    0.047182,  175.190615,    0.010317
1000,2048,8,2048,0,0,  215.895084, 1509.309771,  215.615682,    0.004675,    0.117245,  215.731919,    0.040461
1000,2048,16,2048,0,0,  362.208114, 5415.973462,  361.064897,    0.006565,    0.352541,  361.599500,    0.244377
1000,2048,32,2048,0,0,  475.230254,14569.626412,  469.987949,    0.011676,    0.645928,  473.598639,    0.965933
1000,2048,64,2048,0,0,  494.091598,30015.834219,  476.441813,    0.020493,    0.469643,  490.578353,    3.003985
1000,2048,128,2048,0,0,  451.077935,50371.022273,  396.622223,    0.033740,    0.231280,  449.411589,    0.972004
1000,4096,2,4096,0,0,  953.616416,  953.495783,  953.495783,    0.004181,    0.070244,  953.527368,    0.013957
1000,4096,4,4096,0,0,  355.243861, 1065.051868,  355.017289,    0.004371,    0.093182,  355.122944,    0.022640
1000,4096,8,4096,0,0,  433.726900, 3033.405281,  433.343612,    0.004650,    0.247914,  433.387164,    0.085992
1000,4096,16,4096,0,0,  721.345946,10803.143907,  720.209594,    0.005869,    0.714503,  720.125901,    0.490522
1000,4096,32,4096,0,0,  944.591248,28924.273275,  933.041073,    0.010075,    1.148750,  940.693538,    2.723428
1000,4096,64,4096,0,0,  942.116323,57323.348160,  909.894415,    0.016448,    1.003190,  935.898291,    4.514609
1000,4096,128,4096,0,0,  878.001012,99676.887053,  784.857378,    0.036211,    0.519011,  870.221013,    6.834079
1250,128,2,128,0,0,   46.569408,   46.554873,   46.554873,    0.004108,    0.002656,   46.561144,    0.000731
1250,128,4,128,0,0,   30.119571,   89.656725,   29.885575,    0.004457,    0.003541,   30.109626,    0.001236
1250,128,8,128,0,0,   36.460598,  249.574697,   35.653528,    0.010232,    0.009610,   36.436126,    0.003832
1250,128,16,128,0,0,   59.502395,  843.672112,   56.244807,    0.005942,    0.026293,   59.448772,    0.020205
1250,128,32,128,0,0,   72.072475, 2080.989446,   67.128692,    0.011025,    0.039194,   71.919108,    0.079318
1250,128,64,128,0,0,   86.104786, 4935.419568,   78.339993,    0.018057,    0.042844,   85.998462,    0.038668
1250,128,128,128,0,0,   77.618463, 5701.623588,   44.894674,    0.043224,    0.088842,   77.407490,    0.074475
1250,256,2,256,0,0,  100.598086,  100.578950,  100.578950,    0.004227,    0.005169,  100.586552,    0.001416
1250,256,4,256,0,0,   59.797166,  178.558534,   59.519511,    0.004264,    0.007202,   59.782516,    0.002384
1250,256,8,256,0,0,   73.514615,  510.062534,   72.866076,    0.004739,    0.019000,   73.483024,    0.007082
1250,256,16,256,0,0,  128.123971, 1902.164963,  126.810998,    0.006052,    0.054921,  128.010512,    0.051013
1250,256,32,256,0,0,  153.775917, 4598.057978,  148.324451,    0.009331,    0.090556,  153.522813,    0.151387
1250,256,64,256,0,0,  150.216360, 8764.724928,  139.122618,    0.019163,    2.092901,  147.553721,    0.351948
1250,256,128,256,0,0,  177.907192,20039.124384,  157.788381,    0.048587,    0.118936,  177.574343,    0.155394
1250,512,2,512,0,0,  215.098102,  215.073462,  215.073462,    0.004315,    0.009670,  215.080904,    0.002425
1250,512,4,512,0,0,  109.146264,  327.199511,  109.066504,    0.004337,    0.016408,  109.119291,    0.005347
1250,512,8,512,0,0,  142.795367,  996.716348,  142.388050,    0.009937,    0.041764,  142.724918,    0.017826
1250,512,16,512,0,0,  230.383546, 3427.512628,  228.500842,    0.007239,    0.117978,  230.099238,    0.156931
1250,512,32,512,0,0,  273.210326, 8314.220277,  268.200654,    0.010056,    0.213691,  272.711046,    0.272774
1250,512,64,512,0,0,  287.089465,17235.628105,  273.581398,    0.020519,    0.147214,  286.064972,    0.800797
1250,512,128,512,0,0,  283.961749,32466.357558,  255.640611,    0.043188,    0.138971,  283.378742,    0.313745
1250,1024,2,1024,0,0,  410.219854,  410.175264,  410.175264,    0.004320,    0.019627,  410.190068,    0.005090
1250,1024,4,1024,0,0,  209.731069,  627.891305,  209.297102,    0.004313,    0.034657,  209.680989,    0.010153
1250,1024,8,1024,0,0,  273.889747, 1911.708104,  273.101158,    0.004650,    0.081724,  273.769210,    0.033137
1250,1024,16,1024,0,0,  462.246610, 6906.854525,  460.456968,    0.006026,    0.231993,  461.758819,    0.246411
1250,1024,32,1024,0,0,  568.834017,17434.980300,  562.418719,    0.010151,    0.402075,  567.766837,    0.525005
1250,1024,64,1024,0,0,  536.348438,32621.758892,  517.805697,    0.020536,    0.328125,  533.304757,    2.538022
1250,1024,128,1024,0,0,  563.740951,65710.510669,  517.405596,    0.061362,    0.212728,  562.735611,    0.612651
1250,2048,2,2048,0,0,  808.085006,  808.013890,  808.013890,    0.004235,    0.036622,  808.034246,    0.009066
1250,2048,4,2048,0,0,  441.614899, 1323.700046,  441.233349,    0.004357,    0.061445,  441.527555,    0.020352
1250,2048,8,2048,0,0,  554.188846, 3874.287916,  553.469702,    0.004531,    0.164681,  553.951301,    0.067054
1250,2048,16,2048,0,0,  956.433594,14313.179586,  954.211972,    0.006215,    0.431252,  955.611788,    0.378524
1250,2048,32,2048,0,0, 1108.929057,34116.041303, 1100.517461,    0.016419,    0.747781, 1106.627962,    1.509855
1250,2048,64,2048,0,0, 1120.049574,68971.918951, 1094.792364,    0.016730,    0.557383, 1115.288587,    4.072594
1250,2048,128,2048,0,0, 1094.614234,************, 1011.476835,    0.057344,    0.333995, 1092.085611,    1.595479
1250,4096,2,4096,0,0, 1630.034919, 1629.895321, 1629.895321,    0.004248,    0.078686, 1629.932331,    0.018776
1250,4096,4,4096,0,0,  888.220732, 2663.464752,  887.821584,    0.004291,    0.116403,  888.060123,    0.038862
1250,4096,8,4096,0,0, 1102.162421, 7710.107161, 1101.443880,    0.004682,    0.342501, 1101.670976,    0.142327
1250,4096,16,4096,0,0, 1966.454787,29468.413786, 1964.560919,    0.007135,    0.866369, 1964.756346,    0.814623
1250,4096,32,4096,0,0, 2207.932150,67980.316738, 2192.913443,    0.010070,    1.359656, 2203.278011,    3.259000
1250,4096,64,4096,0,0, 2225.519887,************, 2187.273228,    0.017226,    1.657275, 2212.772892,   10.833815
1250,4096,128,4096,0,0, 2125.203878,************, 1982.550154,    0.037032,    1.160146, 2120.884840,    3.060174
1500,128,2,128,0,0,   80.676227,   80.660830,   80.660830,    0.004420,    0.003019,   80.666663,    0.001035
1500,128,4,128,0,0,   61.554222,  183.257981,   61.085994,    0.004322,    0.005019,   61.541462,    0.002366
1500,128,8,128,0,0,   82.732376,  571.790239,   81.684320,    0.004570,    0.012475,   82.708605,    0.005740
1500,128,16,128,0,0,  109.212521, 1585.615201,  105.707680,    0.006320,    0.025719,  109.158653,    0.020250
1500,128,32,128,0,0,  130.722042, 3805.372558,  122.753953,    0.009578,    0.048197,  130.593332,    0.067121
1500,128,64,128,0,0,  130.285551, 6876.039232,  109.143480,    0.018711,    0.063410,  130.118084,    0.082449
1500,128,128,128,0,0,  146.393018,11204.887057,   88.227457,    0.042228,    0.073020,  146.189350,    0.072214
1500,256,2,256,0,0,  160.631157,  160.608971,  160.608971,    0.004171,    0.005644,  160.618395,    0.001889
1500,256,4,256,0,0,  129.603583,  388.391540,  129.463847,    0.005536,    0.011520,  129.581346,    0.004186
1500,256,8,256,0,0,  137.942502,  952.949987,  136.135712,    0.011350,    0.025871,  137.891677,    0.012476
1500,256,16,256,0,0,  206.587494, 3043.139626,  202.875975,    0.005975,    0.061168,  206.474984,    0.043465
1500,256,32,256,0,0,  230.885814, 6886.941329,  222.159398,    0.010687,    0.087788,  230.656823,    0.124177
1500,256,64,256,0,0,  237.804639,13635.606512,  216.438199,    0.019440,    0.087194,  237.221792,    0.224669
1500,256,128,256,0,0,  239.244040,24946.215767,  196.426896,    0.033602,    0.168167,  238.866742,    0.171978
1500,512,2,512,0,0,  291.123423,  291.092744,  291.092744,    0.004365,    0.011782,  291.102543,    0.003728
1500,512,4,512,0,0,  247.226760,  740.175374,  246.725125,    0.004389,    0.019997,  247.191821,    0.009456
1500,512,8,512,0,0,  298.411456, 2083.129976,  297.589997,    0.004562,    0.047122,  298.337388,    0.021034
1500,512,16,512,0,0,  423.911389, 6287.520108,  419.168007,    0.013463,    0.112148,  423.687996,    0.095034
1500,512,32,512,0,0,  469.137951,14246.983205,  459.580103,    0.010437,    0.198906,  468.584925,    0.340125
1500,512,64,512,0,0,  474.699872,28554.587038,  453.247413,    0.017329,    0.175686,  473.600060,    0.902962
1500,512,128,512,0,0,  487.884069,55455.521253,  436.657648,    0.037351,    0.109601,  487.597212,    0.134055
1500,1024,2,1024,0,0,  624.919882,  624.857981,  624.857981,    0.009461,    0.021478,  624.880678,    0.006988
1500,1024,4,1024,0,0,  481.593973, 1443.163454,  481.054485,    0.004501,    0.037445,  481.535544,    0.015301
1500,1024,8,1024,0,0,  576.868491, 4026.885994,  575.269428,    0.004741,    0.102488,  576.710208,    0.049205
1500,1024,16,1024,0,0,  891.805341,13311.616074,  887.441072,    0.005866,    0.234382,  891.360387,    0.200538
1500,1024,32,1024,0,0,  927.055623,28366.032932,  915.033320,    0.009294,    0.363933,  925.520829,    1.120398
1500,1024,64,1024,0,0,  948.177239,58111.570081,  922.405874,    0.018098,    0.327780,  945.477676,    2.277677
1500,1024,128,1024,0,0,  903.102268,************,  830.803826,    0.033407,    0.200637,  902.522910,    0.298986
1500,2048,2,2048,0,0, 1280.582407, 1280.492896, 1280.492896,    0.004151,    0.049768, 1280.513590,    0.013611
1500,2048,4,2048,0,0,  986.941706, 2958.918703,  986.306234,    0.004460,    0.083841,  986.819188,    0.032875
1500,2048,8,2048,0,0, 1161.197780, 8117.793219, 1159.684746,    0.004664,    0.214210, 1160.870545,    0.106264
1500,2048,16,2048,0,0, 1751.594255,26206.838312, 1747.122554,    0.006335,    0.463026, 1750.716876,    0.401309
1500,2048,32,2048,0,0, 1852.798996,57010.232616, 1839.039762,    0.008976,    0.971651, 1850.248045,    1.549176
1500,2048,64,2048,0,0, 1911.120045,************, 1875.629441,    0.023139,    0.855113, 1907.026228,    3.201178
1500,2048,128,2048,0,0, 1873.657313,************, 1758.599450,    0.019696,    0.370651, 1871.907462,    1.228968
1500,4096,2,4096,0,0, 2496.960370, 2496.803974, 2496.803974,    0.004237,    0.089064, 2496.839913,    0.025423
1500,4096,4,4096,0,0, 1962.576765, 5885.522161, 1961.840720,    0.004437,    0.171008, 1962.331347,    0.068322
1500,4096,8,4096,0,0, 2342.650311,16385.396411, 2340.770916,    0.004597,    0.438454, 2341.985405,    0.218639
1500,4096,16,4096,0,0, 3576.939093,53562.414400, 3570.827627,    0.006277,    0.922882, 3575.142556,    0.855516
1500,4096,32,4096,0,0, 3691.636554,************, 3677.241373,    0.010495,    1.462289, 3686.439928,    3.703875
1500,4096,64,4096,0,0, 3754.585601,************, 3706.355263,    0.019955,    1.260251, 3741.669516,   11.404246
1500,4096,128,4096,0,0, 3687.162119,************, 3505.904420,    0.042209,    0.800541, 3673.444560,   12.859581
1750,128,2,128,0,0,  133.986640,  133.971204,  133.971204,    0.004151,    0.003116,  133.976856,    0.001176
1750,128,4,128,0,0,  102.233218,  304.742223,  101.580741,    0.004376,    0.005427,  102.219422,    0.002674
1750,128,8,128,0,0,  134.156114,  919.838751,  131.405536,    0.004532,    0.013780,  134.128471,    0.007979
1750,128,16,128,0,0,  167.611331, 2376.276255,  158.418417,    0.017870,    0.029152,  167.540039,    0.022462
1750,128,32,128,0,0,  161.455512, 4397.224275,  141.845944,    0.011944,    0.051094,  161.313208,    0.075598
1750,128,64,128,0,0,  178.880084, 8569.935045,  136.030715,    0.017216,    0.064827,  178.739858,    0.054378
1750,128,128,128,0,0,  196.437171,13489.194810,  106.214132,    0.032026,    0.071000,  196.267959,    0.060100
1750,256,2,256,0,0,  265.993506,  265.972323,  265.972323,    0.004282,    0.006117,  265.979378,    0.002328
1750,256,4,256,0,0,  232.867140,  698.242532,  232.747511,    0.004394,    0.014530,  232.839976,    0.006819
1750,256,8,256,0,0,  259.743921, 1803.219301,  257.602757,    0.004735,    0.030051,  259.692079,    0.015632
1750,256,16,256,0,0,  318.842123, 4679.141296,  311.942753,    0.007134,    0.059300,  318.731589,    0.041783
1750,256,32,256,0,0,  330.314514, 9773.943253,  315.288492,    0.008923,    0.090187,  330.046902,    0.165891
1750,256,64,256,0,0,  371.147059,20941.536466,  332.405341,    0.018094,    0.095073,  370.887753,    0.134920
1750,256,128,256,0,0,  383.824340,39676.384591,  312.412477,    0.034579,    0.166181,  383.438743,    0.165195
1750,512,2,512,0,0,  496.907862,  496.875050,  496.875050,    0.004181,    0.012519,  496.885305,    0.004540
1750,512,4,512,0,0,  476.196916, 1425.628655,  475.209552,    0.004261,    0.024246,  476.154677,    0.012365
1750,512,8,512,0,0,  517.757583, 3598.967206,  514.138172,    0.004753,    0.060066,  517.660761,    0.030338
1750,512,16,512,0,0,  658.025421, 9799.106607,  653.273774,    0.005841,    0.119137,  657.813778,    0.083625
1750,512,32,512,0,0,  706.443128,21423.880538,  691.092921,    0.010401,    0.174467,  705.925762,    0.328683
1750,512,64,512,0,0,  710.275857,42408.091375,  673.144308,    0.020113,    0.183049,  709.420463,    0.593765
1750,512,128,512,0,0,  704.101425,79618.851020,  626.920087,    0.043380,    0.230677,  703.300426,    0.451129
1750,1024,2,1024,0,0, 1006.035307, 1005.974548, 1005.974548,    0.004194,    0.028523, 1005.992654,    0.008516
1750,1024,4,1024,0,0,  955.576958, 2864.497672,  954.832557,    0.004352,    0.053300,  955.493004,    0.024685
1750,1024,8,1024,0,0, 1050.145272, 7330.284483, 1047.183498,    0.005514,    0.134011, 1049.928657,    0.074854
1750,1024,16,1024,0,0, 1340.491857,19990.390996, 1332.692733,    0.006712,    0.246385, 1340.017118,    0.217136
1750,1024,32,1024,0,0, 1503.071900,46093.794380, 1486.896593,    0.010886,    0.352983, 1501.838429,    0.807069
1750,1024,64,1024,0,0, 1398.343195,85545.546638, 1357.865820,    0.020997,    0.371666, 1396.800157,    1.085084
1750,1024,128,1024,0,0, 1366.527768,************, 1263.586652,    0.038724,    8.044040, 1358.141952,    0.272095
1750,2048,2,2048,0,0, 2087.846528, 2087.753933, 2087.753933,    0.004210,    0.046288, 2087.778378,    0.016084
1750,2048,4,2048,0,0, 1757.464721, 5270.275212, 1756.758404,    0.004531,    0.099467, 1757.315983,    0.043011
1750,2048,8,2048,0,0, 1919.916411,13422.869357, 1917.552765,    0.004653,    0.240139, 1919.543191,    0.125440
1750,2048,16,2048,0,0, 2563.349331,38331.506228, 2555.433749,    0.007739,    0.466564, 2562.483693,    0.384164
1750,2048,32,2048,0,0, 2688.618209,82754.605907, 2669.503416,    0.009671,    1.064955, 2685.392771,    2.137231
1750,2048,64,2048,0,0, 2822.444808,************, 2767.493087,    0.018938,    0.667703, 2814.540751,    6.937719
1750,2048,128,2048,0,0, 2808.361412,************, 2647.963380,    0.039525,    0.434241, 2804.357119,    3.520653
